Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Hungary,HUN,"Air transport, passengers carried",IS.AIR.PSGR,1363100,910700,1029100,1216900,1325400,1310900,1563400,1634700,1749200,1943500,2197521,2023385,2098760,2260849,2546234,2735214,2591666,3133574,3111575,2952885,12477063.18,13729553.53,12289555.08,13926540,16482060,20043787,21399963,26066294,31226848,39803373,14597294
IBRD only,IBD,"Air transport, passengers carried",IS.AIR.PSGR,159562400,288238700,249287400,227755500,242797500,260412144.1,269421600,278907900,276766600,281964600,302077954,331479712,334877312,346454377,421250768,457746406,506432777,571342851,602329034,654666498,850497494.1,948977935.3,1030743896,1123867191,1223688739,1342229140,1461070125,1619971597,1769305160,1835107918,891984872.8
IDA & IBRD total,IBT,"Air transport, passengers carried",IS.AIR.PSGR,178700100,306448300,271850700,249315900,264620500,281495744.1,290119200,300379900,298474600,303852900,323854019,353461238,354836889,366713422,444743421,482971713,533670988,599627079,631333677,683927328,891956142.2,997808123.8,1080347427,1174597729,1276673084,1396421827,1517531639,1680834868,1840061201,1904674596,923836407.3
IDA total,IDA,"Air transport, passengers carried",IS.AIR.PSGR,19137700,18209600,22563300,21560400,21823000,21083600,20697600,21472000,21708000,21888300,21776065,21981526,19959577,20259045,23492653,25225307,27238211,28284228,29004643,29260830,41458648.08,48830188.45,49603530.74,50730538.39,52984344.99,54192687,56461514,60863270.63,70756041.17,69566677.59,31851534.54
IDA blend,IDB,"Air transport, passengers carried",IS.AIR.PSGR,9605300,9634000,13830900,11732700,12197100,11674500,10788200,11784100,11596400,12221200,12058275,12976878,10439111,10669835,11971594,13181865,14641094,14980619,15375119,14965530,20774321.43,23867830.73,24663522.39,24098238.09,24165927.34,24997482,25950100,24353773,28749421.06,29093297.79,12727159.61
Indonesia,IDN,"Air transport, passengers carried",IS.AIR.PSGR,9223100,10401800,11176800,12009000,13924500,15977200,17138800,12650200,12613600,8046800,9916365,12453812,12113452,12221066,26780550,26835524,29867483,30405918,29766093,27421235,59384361.61,70912258.11,79405799.81,81721356,85215879.51,90095131,99274010,108393123,115154100.9,91323153,37523686.82
IDA only,IDX,"Air transport, passengers carried",IS.AIR.PSGR,9532400,8575600,8732400,9827700,9625900,9409100,9909400,9687900,10111600,9667100,9717790,9004648,9520466,9589210,11521059,12043442,12597117,13303609,13629524,,20684326.65,24962357.72,24940008.35,26632300.3,28818417.64,29195205,30511414,36509497.63,42006620.12,40473379.8,19124374.93
Isle of Man,IMN,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Air transport, passengers carried",IS.AIR.PSGR,10862200,10717400,11127100,9441600,11518400,14260600,13394600,16039800,16521000,16005400,17299483,16862737,17633019,19455085,23934074,27879461,40288794,51897450,49877935,54446373,64374253.8,73996912,72151828.89,75589071,82718882.88,98927860,119577835,139752424,164035637.5,167499116,68959633
Not classified,INX,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Air transport, passengers carried",IS.AIR.PSGR,4812300,4764600,5006000,4650400,4825700,6586500,7676800,8963700,10401200,11948800,13983022,15450847,19728801,28863657,34748853,42872544,50737809,60099058,69447262,77747207,84784226,89956333.51,92637189.19,93408036,98449140,115928738,134065078,153944513,167598633,170161848,54582262
"Iran, Islamic Rep.",IRN,"Air transport, passengers carried",IS.AIR.PSGR,5632600,5537500,4895600,5351800,5803500,6290600,7609600,9804100,9200400,8277300,8722145,16485326,9891522,16301238,11877705,12708354,13623038,13915755,12029236,13052716,18760850.38,19113946.16,17687478.52,16580818.01,16825260.83,13873256,17084581,26858178.78,23029380,21641449.39,12744853.78
Iraq,IRQ,"Air transport, passengers carried",IS.AIR.PSGR,701600,27700,53000,,31500,,,,,,,,,,,,,,,,641129,761778.1744,784944.253,476484,476484,2142554,2019816,1591490.01,4812610,5434292,764661
Iceland,ISL,"Air transport, passengers carried",IS.AIR.PSGR,759500,772600,767100,801000,1031200,1097000,1239100,1334400,1592700,1350200,1431818,1357946,1198920,1133775,1332811,1528929,1536157,1720496,1423422,1364651,1851416.842,2150527,2400160,2602714,3035882.779,4134980,5710834,7242611,7819740.56,4656017,903927
Israel,ISR,"Air transport, passengers carried",IS.AIR.PSGR,2004000,2047500,2391200,2569400,2980400,3453400,3694600,3753600,3698500,4033200,4442967,3967140,3708138,3677879,4968931,4392448,4357151,4662615,4563041,4605452,5084798,5151469,5381980,5565864,5886728,6331198,6866472,6993888,7404373,7068458,1249361
Italy,ITA,"Air transport, passengers carried",IS.AIR.PSGR,19750000,18846800,21766700,21901400,22959300,23665800,25838500,28183900,27462700,28281000,30418137,31031074,28244627,36345771,35922093,36115764,36709131,37830745,30672048,33194501,32645164,33923370.51,31072962.16,27846220,27193939,28603919,29120041,26288001,27243741,27760301,7801490
Jamaica,JAM,"Air transport, passengers carried",IS.AIR.PSGR,1003600,894000,983200,1037800,1011000,1126400,1388300,1400100,1453900,1669800,1922123,1946123,2016000,1838047,2007765,1573785,1526571,1618165,1644056,1380000,0,0,0,46272,76244,92836,136744,151326,180951.272,,
Jordan,JOR,"Air transport, passengers carried",IS.AIR.PSGR,963900,797200,1109300,1185600,1219500,1270000,1299200,1353400,1186700,1252200,1281997,1178058,1299699,1353444,1660235,1737165,2046457,2246212,2355285,2323750,3077036.696,3267109.736,3438356,3294911,3211795,3065145,3181283,3381677,3383805,3478444,816253
Japan,JPN,"Air transport, passengers carried",IS.AIR.PSGR,76223800,78719800,81378400,80063904,83913504,91797000,95913504,94997600,101701200,105994496,109123312,107823469,109037841,103988547,101740600,102279015,102845319,99842338,97022471,86896527,109617021,89788818,98907859,107573000,110547000,114128000,117708000,123898000,126387527,130233352,51131122
Kazakhstan,KAZ,"Air transport, passengers carried",IS.AIR.PSGR,,,5273400,706400,702300,1117300,568000,568000,565800,467200,461283,500981,756959,1009731,834760,1160286,1283250,1295050,1275624,1192714,3098327,3786453.064,4064819.023,4785588,4918608,5081632,5007869,6903190,5920110,7656866,5282205
Kenya,KEN,"Air transport, passengers carried",IS.AIR.PSGR,794400,759900,721400,769500,753500,740400,778600,835700,1138400,1357800,1554949,1418183,1599843,1678160,2005473,2424382,2685148,2857464,2880546,2948920,4039583,4508698.012,4653459.735,4516500,4448530.528,4569473,4848016,5109576,5905365.123,6417534.056,1865768
Kyrgyz Republic,KGZ,"Air transport, passengers carried",IS.AIR.PSGR,,,,464000,464000,438700,488200,423000,620100,312100,240954,192060,174369,205604,245570,225923,219464,274981,204525,309488,375602,526018.0125,494640.4268,771165,712284,967629,1015750,1122951,1175000.704,867935,191774
Cambodia,KHM,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,124847,164515,162132,168810,256160,307782,211281,183503,277725.0543,499981.518,508688.5094,615123.328,1071179,1103880,1047394,1305297,1411059,1429503.73,609564.382
Kiribati,KIR,"Air transport, passengers carried",IS.AIR.PSGR,24900,24900,25400,25600,25600,26900,28400,28400,28300,,,,,,,,,,,,,,,,,,,66567,66567,65846.852,56299.058
St. Kitts and Nevis,KNA,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,"Air transport, passengers carried",IS.AIR.PSGR,15684500,16908000,19766900,21425900,24932300,29345200,33002700,35505800,27109000,30870200,34331368,33710340,34831814,33372577,34511494,33888328,34842655,36655313,36077655,34168590,36987982,39911749.59,39969577.02,54530105,58289180,66093149,76859538,82818983,88157579,92434079,30033310
Kuwait,KWT,"Air transport, passengers carried",IS.AIR.PSGR,965600,840100,1408600,1553800,1756200,1950800,2133400,2113900,2240800,2130000,2112523,2084574,2299218,2185990,2496441,2433213,2627870,2659769,2523966,2597076,4563082,3722729.503,3481039,3244805,3530851,3752995,4069935,5731748,6464847,7385299,1823594
Latin America & Caribbean (excluding high income),LAC,"Air transport, passengers carried",IS.AIR.PSGR,53240500,51969200,52033500,55004500,61142600,60395000,64977400,72531400,77025700,78023700,80737090,80752999,80916912,79669134,85640345,91319432,93787469,101368252,113509159,117582038,152832968.4,168014972.4,184165317.6,197300515.5,209830189.4,225374213,226438094,237473414.4,253817893.8,264882525.6,107715119.9
Lao PDR,LAO,"Air transport, passengers carried",IS.AIR.PSGR,115400,115400,118500,118500,118500,124500,124500,124500,124100,197200,210847,210847,219598,218652,271706,293442,326730,328326,323401,302596,443778,532707,877949.8814,1476528,1310124,1181188,1220201,1196041,1009414,979307,386950
Lebanon,LBN,"Air transport, passengers carried",IS.AIR.PSGR,572300,535500,599600,677400,706400,769800,774600,856900,716000,719400,805803,815862,874152,935213,1086730,1076258,968820,1074219,1067774,1308382,1893359,2029610,2148669,2241480,2419476,2591297,2647258,2879528,2981937,3164358,1077762
Liberia,LBR,"Air transport, passengers carried",IS.AIR.PSGR,33700,32000,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,"Air transport, passengers carried",IS.AIR.PSGR,1803000,1883700,1350100,853000,640800,623200,638600,570600,570600,585500,600734,582712,559404,626532,850185,0,1151785,1204107,1213854,1147234,2928705.68,2284066.501,1398125.134,2744844,2391856,1430460,1283181,1186424,1442576,1367458,715300.42
St. Lucia,LCA,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Air transport, passengers carried",IS.AIR.PSGR,65165400,64136600,64903900,68207800,73894400,72889000,77252200,85239100,90079300,93629700,96507566,101576743,97945064,94799825,100859199,107537262,110439889,120106257,133677728,140453020,178418790.8,198178802.3,217297987.7,234290843.1,248819233,264217989,266690030,275641368.4,293327220.8,305061356.6,121313047
Least developed countries: UN classification,LDC,"Air transport, passengers carried",IS.AIR.PSGR,7968400,7148900,7307500,7184600,7723600,7284500,7613500,7565300,7653000,7545800,7589071,7446935,7428771,7560412,9101900,9851704,10465788,10893390,11135294,11657441,17835813.29,21557709.34,22300431.96,24692615.15,25670319.47,25424834,26794845,32493787.63,38438981.41,37004010.81,17136438.14
Low income,LIC,"Air transport, passengers carried",IS.AIR.PSGR,5119400,4444000,4705600,4635500,4770100,4203400,4500900,4547900,4593300,4737200,4865888,4688594,,,,,,,,,12022038.13,14474307.84,13864749.51,14825377,14727931.16,13071284,13897971,16074095.08,17840115.61,18708238.38,7755895.473
Liechtenstein,LIE,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,"Air transport, passengers carried",IS.AIR.PSGR,891800,892700,1045600,993800,1066800,1155700,1170700,1231900,1212500,1421500,1755567,1718331,1740807,1957606,2412889,2817778,3100832,3206766,2951506,2417713,3008322.692,3665394,4616417,4793393.4,4756131,4911730,5284585,5403577,5882376,5582446,1240391
Lower middle income,LMC,"Air transport, passengers carried",IS.AIR.PSGR,58608300,58593100,71066100,67023800,73086400,80316300,82484200,85203600,83364300,76237400,81429743,92858356,84987999,94076203,115584643,124229085,143134024,158942855,160844221,166266855,244081250.5,278554382.6,291517512,299916212.4,326618286,356083306,404612256,453154968.7,499307658.9,488400379.9,203483797
Low & middle income,LMY,"Air transport, passengers carried",IS.AIR.PSGR,166160000,293868100,258307800,234869700,250087500,267799500,276185000,285628200,282915700,286907800,306009456,329751742,334345443,347367450,424225871,460828747,510602187,573553197,602997508,652915814,859186599.8,959959046.6,1039102320,1129854969,1229673592,1349457117,1467970476,1630321691,1786539493,1848489384,906382799
Lesotho,LSO,"Air transport, passengers carried",IS.AIR.PSGR,56000,56000,26100,20500,26600,24800,17100,10500,28200,1300,,,,,,,,,,,,,,,,,,,,,
Late-demographic dividend,LTE,"Air transport, passengers carried",IS.AIR.PSGR,84784000,218048600,169668800,149063500,156855000,173392100,178597200,184906800,187098700,199593400,216639000,237815480,258940139,271040893,331760561,347642313,384756400,444476143,485748645,572829124,685670532.1,761255355.4,830069110.5,907272787.7,985686600.9,1088963002,1190947049,1323673354,1434010524,1516126027,741625912.5
Lithuania,LTU,"Air transport, passengers carried",IS.AIR.PSGR,,,557200,149700,194500,209900,214000,236800,258900,249600,283836,304051,303865,329271,447883,505409,429657,423585,609847,616514,81450,69445,592996,1009728,1274911,1363946,1046012,1069268,26031,40944,35027
Luxembourg,LUX,"Air transport, passengers carried",IS.AIR.PSGR,409300,405700,460600,470500,532500,569700,639100,559800,701400,842700,870831,885852,822533,853903,855840,851136,927738,1039067,1059848,681482,786920,785200,781146,1555788,1710624,1830972,1845726,1901012,2099102,2114417,753114
Latvia,LVA,"Air transport, passengers carried",IS.AIR.PSGR,,,65700,111200,167000,173000,275900,229100,229100,196200,278396,255392,264991,339747,593662,1032128,1409620,1344912,1371810,1301848,3158051,3299391,2888683,2754720,2636612.759,2527368,2843133,3441024,4058762,4976410,1323070
"Macao SAR, China",MAC,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,1532189,1706332,1728004,1211797,1800237,2040654,2285750,2393294,1866141,1427324,1329721,1327732,1561850,1767100,2078758,2276436,2788571,2776815,3157724,3659911,544411
St. Martin (French part),MAF,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"Air transport, passengers carried",IS.AIR.PSGR,1580000,1429700,2169000,2139600,2183900,2147200,2301200,2638400,3012000,3392100,3671317,3680688,3049154,2638314,3004353,3492984,4109489,4623543,4927341,4930683,7144446,7502696.745,6563646.676,6507408,6976810,7043971,7738637,8667392,8132917,9380951,3012310
Monaco,MCO,"Air transport, passengers carried",IS.AIR.PSGR,42500,42500,44000,44000,44000,44000,44000,44000,43800,75200,82764,77798,104255,94563,83916,87523,95721,101753,84660,63876,59658,63186,65404.36364,64524,64188,60382,12137,316,316,316,
Moldova,MDA,"Air transport, passengers carried",IS.AIR.PSGR,,,571100,312300,312300,169500,190000,46400,118000,43000,117532,120125,129377,179084,200615,231985,273810,314361,401199,402423,479457,540679,543872,557653,692496,1005936,936254,1092606,1423791,1408166,306631.727
Madagascar,MDG,"Air transport, passengers carried",IS.AIR.PSGR,424200,314300,343900,418500,450700,497200,542100,574900,600500,639800,629409,657953,266033,451729,513508,574904,572991,616433,558981,499526,524296,544100.7273,588169,539208,520421,458572,441861,486425,541290,544458,186314.332
Maldives,MDV,"Air transport, passengers carried",IS.AIR.PSGR,9400,9400,9400,9400,38500,158600,206900,188900,247200,261100,315108,56216,57902,60218,75875,81945,93417,92483,91096,85448,,,,,1024693.845,1313533,1409704,1485752,1191383.083,1221786.675,893407.835
Middle East & North Africa,MEA,"Air transport, passengers carried",IS.AIR.PSGR,38928000,36420700,41137700,42087100,45080700,45976000,49613000,53725800,53713700,56424000,59654534,67991058,64355768,73216604,78560904,61431744,66638675,71222974,71070884,114274202,151073013.6,160271708.8,175337423.6,188897689.1,204902736.9,217000211,239193056,257942310.8,264706357.9,276426540.5,97988688.33
Mexico,MEX,"Air transport, passengers carried",IS.AIR.PSGR,14341300,14901000,15532200,16484800,18791400,14968800,14677700,17266500,17717400,20561100,20894205,20172824,19618662,20661206,21167881,21857658,21243010,20952513,18825976,15728171,31269061,29538937,32909408.72,35986501.82,39570522,46966763,53313307,58537832,64569640,69937838,34133108
Marshall Islands,MHL,"Air transport, passengers carried",IS.AIR.PSGR,66400,66300,96000,43500,41900,45800,41300,33100,32000,33100,16109,18805,24592,27471,28970,25789,30232,29980,29530,27692,,,,,,,,22435,24313,21500,25563
Middle income,MIC,"Air transport, passengers carried",IS.AIR.PSGR,161040600,289424100,253602200,230234200,245317400,263596100,271684100,281080300,278322400,282170600,301143568,325063148,330145609,343002544,418961594,454985639,504524165,566675644,595724768,645589044,847164561.7,945484738.8,1025237571,1115029592,1214945661,1336385833,1454072505,1614247596,1768699378,1829781145,898626903.5
North Macedonia,MKD,"Air transport, passengers carried",IS.AIR.PSGR,,,,187500,203000,215000,287300,228900,488900,506100,599012,315450,165735,200959,210875,191977,209255,234366,196420,86868,,,,,,,,,,,
Mali,MLI,"Air transport, passengers carried",IS.AIR.PSGR,,,66300,68200,69200,74100,75100,85500,90500,83900,77273,46364,,,,,,,,,303692,363857.3759,181742.6142,33444,0,,,,,,
Malta,MLT,"Air transport, passengers carried",IS.AIR.PSGR,597800,648600,692500,797000,1002500,1065900,1037500,1054300,1159400,1421300,1364904,1340031,1398990,1309119,1365223,1371865,1495333,1674773,1708268,1992900,1699829,1673765,1535101,1603404,1588165,1583046,1500824,1575125,2576898,2382607.8,549318.545
Myanmar,MMR,"Air transport, passengers carried",IS.AIR.PSGR,318500,318500,318500,318500,318500,334500,334500,334500,333200,536800,437600,398216,1186162,1117208,1392244,1503624,1620895,1662866,1637923,1527346,924207,1539676,1663425.435,1572120,1926969,2095503,2741388,3149037,3407788.433,3701663.849,1506581.713
Middle East & North Africa (excluding high income),MNA,"Air transport, passengers carried",IS.AIR.PSGR,20968500,18725100,19938500,19026300,20017600,20833300,22956900,26337800,25271800,25105400,26100792,34079465,26788324,32800028,30468644,31260133,34256632,36205520,35864926,38021520,52770471.77,52290259.43,50973534.93,53720922.15,54370978.91,50614910,55760221,66657459.79,67240082.92,68779625.65,26673598.9
Montenegro,MNE,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,121737,,287111,337046,383140,,,,,659355.4148,523356,544519,528852,503040,526980,544597,507637,565522,597380,
Mongolia,MNG,"Air transport, passengers carried",IS.AIR.PSGR,,615700,590600,630000,630000,661500,661500,240200,239700,224700,253917,255298,269886,294880,310158,295252,347998,380708,364470,257233,391188,496649.1077,626469.9665,585864,683254,529311,537853,602775,670360,744413,143860
Northern Mariana Islands,MNP,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"Air transport, passengers carried",IS.AIR.PSGR,279500,282800,224700,206200,220700,168200,163400,188400,200700,234800,259568,264216,281513,280516,293873,346830,350314,443010,461125,490019,558192,577019.8145,559608.7957,701472,739636.7441,676028,632965,569211,540124,587364,327742
Mauritania,MRT,"Air transport, passengers carried",IS.AIR.PSGR,222700,212700,212700,214600,215600,227900,234800,245200,249600,187400,185061,155687,105541,116136,128329,138595,149188,154662,153895,142355,524817.8947,381075.9236,325239.5236,261696,271212,248158,280215,418817,379211,386621,100904
Mauritius,MUS,"Air transport, passengers carried",IS.AIR.PSGR,519700,525300,578100,581900,635900,675800,716900,803900,847500,823200,949085,1002282,1029466,1042773,1088696,1145737,1056496,1277957,1256746,1092580,1265458,1321491,1313976,1318052,1354388,1466527,1593666,1674395,1745291,1726868,407291
Malawi,MWI,"Air transport, passengers carried",IS.AIR.PSGR,120300,120100,121400,132100,141600,148700,152500,158300,157700,112300,115831,112560,104711,108854,122477,132275,145747,154837,159917,157007,91520.1894,82709.54499,53518.998,5856,5856,6011,6744,10545,10545,7117,1792.164
Malaysia,MYS,"Air transport, passengers carried",IS.AIR.PSGR,10241500,11837400,12756900,13101300,14249800,15417800,15117600,15591600,13654400,14984600,16560793,16107156,16281275,16704600,19226564,20369086,17833364,21325754,22420870,23766316,34239014.17,38218608.85,39165195.22,47995842,49673884,50345820,53817353,58711937,60481772,63623130,15893988
North America,NAC,"Air transport, passengers carried",IS.AIR.PSGR,485175416,468602404,483783292,487442612,533028800,553803196,593928000,614552892,612824180,658966608,707095388,662639760,621733444,624881527,718811915,765777598,772257943,796405857,755498308,732006924,783774409.4,796874012,807166400.8,814697725.9,838238607,878450302,909445425,940807001,980528000,1020089000,397121000
Namibia,NAM,"Air transport, passengers carried",IS.AIR.PSGR,,455000,163200,178700,198800,224600,236800,214500,213700,214100,247147,215237,222009,265655,282915,399280,400947,430741,452167,454855,485849,540867.9,632330.085,510000,522216,553322,558713,623076,602893,212578,62262.67
New Caledonia,NCL,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,"Air transport, passengers carried",IS.AIR.PSGR,76300,66300,66300,68200,69200,74100,75100,85500,90500,83900,77273,46364,,,,,,,,,0,0,119652,87936,13227.5,15243,15044,14713,,,
Nigeria,NGA,"Air transport, passengers carried",IS.AIR.PSGR,964800,930000,646500,608400,664800,547900,221200,318200,313400,419700,507396,519453,520278,520263,540461,747648,1307541,1363435,1460900,1365343,4197375,4793913.274,4716148.081,4209624,4462001.63,4613169,4110075,4789878,7786143.994,6539048.353,3401186.766
Nicaragua,NIC,"Air transport, passengers carried",IS.AIR.PSGR,129600,129600,159200,34000,43800,48200,51300,51300,51100,58700,61031,,,,,,,,,,,,,,,,,,,,
Netherlands,NLD,"Air transport, passengers carried",IS.AIR.PSGR,8559400,8893200,10087800,11774600,12894800,16377900,17114300,17889900,18675500,19741200,20898713,20072980,22931166,23454932,25595676,26132696,27454451,28857440,29601230,29108547,26979676.63,29959476.4,31672223.98,33455251,33956338,35687843,40078714,42763443,44417573.58,46358457.95,14748517.33
Norway,NOR,"Air transport, passengers carried",IS.AIR.PSGR,8928500,8857300,9661200,10383600,11133100,11695500,12727300,13759000,14291500,15009600,15182305,14556181,13699204,12805757,12277222,,,,,,,,,,,,,,,50957868.6,14041322.8
Nepal,NPL,"Air transport, passengers carried",IS.AIR.PSGR,679000,633900,648800,633100,682600,716700,755000,755000,753600,582600,643332,641142,352544,356369,444691,480266,509792,528226,520303,484394,917939,901116.1179,776864.1216,643140,517548,510342,634292,2443630.512,4525805,1659671,1989284
Nauru,NRU,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,210424,30195.52105,34884.32689,19334.84785,16488,34572,38859,47252,45457,40290,50668,9356
New Zealand,NZL,"Air transport, passengers carried",IS.AIR.PSGR,5865600,5370800,5784400,6290800,7716100,7676600,9597000,9435400,8654900,9565600,10781314,11467023,11285424,12259437,11305401,11951935,12382205,12545766,12950904,12104116,13295185,13747024.21,13937353.94,14434056,13618712,14385078,15300409,16271523,17249049.95,17763604.46,8516619.501
OECD members,OED,"Air transport, passengers carried",IS.AIR.PSGR,846937916,826639404,873450392,893611716,971255004,1021039596,1099596504,1151287192,1159476480,1245629100,1333236717,1283609610,1247264642,1278025311,1413357107,1475137918,1523845112,1594664421,1561688255,1516777735,1673073625,1721515451,1764708589,1828732574,1901844153,2024220925,2134765172,2243961564,2361878663,2606490030,901701602.9
Oman,OMN,"Air transport, passengers carried",IS.AIR.PSGR,852900,957500,1081100,1180000,1511800,1452900,1620200,1678400,1849300,1933100,2118338,1980076,2103559,2777424,3267088,,,,,2360682,3262849,3795755,4430383,4994729,5051804,6365784,7709851,9035230,10438241,11239996,2496069
Other small states,OSS,"Air transport, passengers carried",IS.AIR.PSGR,5798000,6502100,6772500,7255400,8573000,8905500,9287800,9670100,10360700,11464000,,,,,,,,,,,29535977.74,31467772.9,34532854.87,34877522,,43818107,51705282,,53400215.37,54258497.62,
Pakistan,PAK,"Air transport, passengers carried",IS.AIR.PSGR,5180200,5197700,5680600,5647100,5663700,5342600,5375000,5882500,5414100,5850000,5293541,6011849,4141009,4522110,5097477,5364134,5714831,5439144,5605758,5303268,6588114,7940545.076,7973906.361,7833901.088,7670348.185,8467827,9628354,7260769,6880637,7420378.249,3711456.87
Panama,PAN,"Air transport, passengers carried",IS.AIR.PSGR,265800,342700,282700,320500,519900,661200,688800,772200,859900,932500,1117411,1114727,1047843,1416071,1500673,1795958,2028711,2473261,2762458,6348000,5524157.43,6380080.184,7517581.277,11656416,11812712.84,12193261,13285098,11975372,12631703,12497758,3074172
Peru,PER,"Air transport, passengers carried",IS.AIR.PSGR,1816200,1490600,1217600,1362400,1894900,2508300,2327500,2724500,2774500,1900000,1595268,2248991,2085823,2226329,3225128,4332223,4217880,5273188,6184410,5843195,7106025.293,8609620.354,10074855.61,12255937.76,12284677,13877662,15081755,16094150,17758527.27,18820572,5705074
Philippines,PHL,"Air transport, passengers carried",IS.AIR.PSGR,5638700,5438100,6136500,6526200,6851500,7179600,7263100,7474600,6731600,5024000,5756288,6416383,6449022,6457529,7387965,8056829,8304634,8818150,9508389,10480898,22575356,26326620.76,28540727.36,25540880,34897404,37023422,40206684,39341995,43080118,47776892,11178423.08
Palau,PLW,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,"Air transport, passengers carried",IS.AIR.PSGR,931200,911000,954000,866000,1112800,970000,970000,1114000,1110300,1058200,1099772,1188089,1234779,690528,762784,818773,918640,918665,904885,847353,1405169,1563593.853,1630308.432,1870968,2074020,1679156,1711274,1864653,1831903,2029701,1501149.466
Poland,POL,"Air transport, passengers carried",IS.AIR.PSGR,1501000,1051200,1102100,1269900,1451800,1657300,1805900,1998000,2212500,2140700,2340919,2670283,2845919,3252222,3493094,3553680,3625982,4269655,4634676,4279072,4099082,4448727.06,4909100.392,5002975.749,5038745.426,4448883,5497163,7376512,9277538,10225516,2686258
Pre-demographic dividend,PRE,"Air transport, passengers carried",IS.AIR.PSGR,7398600,6057800,5674400,5354400,5857800,5618900,5427100,5219400,5677400,5720100,5605843,5129614,,,,,,,,,17819048.66,20387700.77,20515501.68,19925850.82,19349770.9,21230480,20633300,21624757.05,28768397.36,28357862.06,10479452.53
Puerto Rico,PRI,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,"Air transport, passengers carried",IS.AIR.PSGR,222700,222700,235100,241800,241800,254000,254000,280000,64000,76700,82953,78805,84321,75046,93808,101313,105366,110634,108974,101237,73052,78558.86155,100113.3486,371004,90335.875,87082,94919,103560,94245,109095,11649.99528
Portugal,PRT,"Air transport, passengers carried",IS.AIR.PSGR,3504500,3571800,4108800,4378900,4359600,4590100,4805500,6281400,7023100,7339300,6721365,6650492,6795580,7590259,9052471,10139655,9440930,10320040,11171020,9903771,10428173.51,11014639,11338080,11860998,12635439,12706909,13105120,15937325,17367956,22047878.98,6219531.061
Paraguay,PRY,"Air transport, passengers carried",IS.AIR.PSGR,273000,308800,313600,337500,324200,105200,260500,196000,222200,231700,265898,281040,267089,298928,373456,445854,432760,458688,465911,428493,715072,845395.6888,794176,711548.47,608844,452004,467713,454276,710407,632389,131713
West Bank and Gaza,PSE,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific island small states,PSS,"Air transport, passengers carried",IS.AIR.PSGR,647200,661900,711300,669900,734300,775600,1042400,871600,956800,972400,994674,1040635,1169195,1409660,1376595,1366689,1468156,1510124,1487471,1861811,1679808.521,1691669.508,1701510.525,1807896,2006028,2120856,2238966,2543172,2681606,2609710.553,847903.324
Post-demographic dividend,PST,"Air transport, passengers carried",IS.AIR.PSGR,823529116,803342904,851472092,866599916,939020504,989606440.1,1067013204,1118528992,1129879680,1214796800,1301972064,1251639848,1214443600,1229236696,1360640668,1413314874,1455395380,1510562083,1469546762,1409097909,1535018341,1572981002,1599345143,1647552396,1703839062,1789921540,1872020604,1948532976,2038433312,2278375002,760646645.1
French Polynesia,PYF,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,"Air transport, passengers carried",IS.AIR.PSGR,770900,875500,981100,1080000,1150600,1072500,1200300,1164600,1207000,2325200,2672972,2778116,3570521,3184104,4453071,6041040,7070851,8879109,9702479,10211229,12391268,14568106,17187171,18737348,21425066,25263224,31209097,29949181,29178923,32953297,10640789
