Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,"Air transport, passengers carried",IS.AIR.PSGR,770900,875500,981100,1080000,1150600,1072500,1200300,1164600,1207000,1307000,1382461,1250076,1255713,1850491,2284547,,,,,5215512,6028980,5590998.041,5861786.999,4626648,5171496,5313756,5220218,5190484,5877003,6440562,1451359
"Bahamas, The",BHS,"Air transport, passengers carried",IS.AIR.PSGR,1090000,1090000,835000,862000,862000,936900,977500,703700,701000,1719400,1860623,1625689,1543274,1601347,900000,1020000,1033407,1089636,1088876,979042,967914,1056129.595,1048391.067,576996,991463.3289,900028,937476,921470,1830394.862,1856546,1272798.762
Bosnia and Herzegovina,BIH,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,49900,60100,69142,64993,65643,72864,,,,,56313,79977,56485.16182,40182.43977,24874.08963,15000,36636,7071,,,,5375,1593
Belarus,BLR,"Air transport, passengers carried",IS.AIR.PSGR,,,,804900,804900,804900,843000,230900,225500,212300,210899,221714,204908,234273,274185,281877,307403,344290,351165,333252,652142,737599,943081,1159500,1317732,1489035,2057194,2493100,2760168,3208254,1227674
Belize,BLZ,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,143928,179471.4135,448015.914,513175.6,877765,935604,990499,1285642,1297533.223,1278187.556,971426.138
Bermuda,BMU,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Air transport, passengers carried",IS.AIR.PSGR,1237600,1200000,1214400,1117000,1175200,1223700,1783500,2250800,2115500,1872600,1756608,1557128,1508700,1770774,1824313,1892343,1443165,1744663,1718196,1537032,1781340,2125912.527,2206069.761,2027888,3563043.583,4115271,3678739,4053427.35,4122113,4066959,2627202.201
Brazil,BRA,"Air transport, passengers carried",IS.AIR.PSGR,19149600,19153100,16388500,16535600,17898600,20196100,22011500,24307000,28091100,28205300,31287784,34285574,35889538,32372040,35263795,37661733,40945038,45286990,58763225,67945578,74627064,87860363,94752568,95591641,100403628,102039359,94142377,96395709,102109977,102917546,45405756
Barbados,BRB,"Air transport, passengers carried",IS.AIR.PSGR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Air transport, passengers carried",IS.AIR.PSGR,307000,307000,410000,604100,769400,916200,856900,876800,876800,808000,863547,1007542,1035795,956133,1079578,977516,1041478,1017028,1075754,999375,1263270,1312935,1044170,1139784,1061148,1150003,1168609,1172201,1234455,1421313,280622
Bhutan,BTN,"Air transport, passengers carried",IS.AIR.PSGR,8000,8000,8700,8700,8700,29700,35000,36100,36100,30700,34425,35114,40859,36365,45456,49092,51056,53609,52805,49056,181537.3717,226153.1266,193405,207996,302160,162864,224101,254643,275849,276092,48825
Botswana,BWA,"Air transport, passengers carried",IS.AIR.PSGR,101300,102300,111200,122600,100500,99900,104000,116400,123700,144100,163909,169526,179041,188842,212951,229987,213587,227624,236182,233515,290195,415864.0844,415130.021,270996,205992,226549,254396,223673,253417,254439,
Central African Republic,CAF,"Air transport, passengers carried",IS.AIR.PSGR,130300,120300,66300,68200,69200,74100,75100,85500,90500,83900,77273,46364,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Air transport, passengers carried",IS.AIR.PSGR,20601400,16586500,16818300,17516500,18104800,20291100,22856000,23981500,24653300,24602000,41767974,40451914,23323029,35884417,40701307,45229860,46726978,52103547,53718757,52583516,63277409.38,66078011.95,70467400.79,71526725.92,75528607,80228302,85406425,91404001,91504000,93352000,27620000
Central Europe and the Baltics,CEB,"Air transport, passengers carried",IS.AIR.PSGR,7188800,4707300,6010600,6537200,7385600,7324344.1,8216500,8745500,9570400,9991700,11117833,11445703,11808082,14065887,16768232,19040472,20221059,23721701,25261998,24733789,32710131.38,34477031.59,32490649.47,35246300.75,37875158.18,39811670,42884394,52125994,62622491,69934611.3,22919373.18
Switzerland,CHE,"Air transport, passengers carried",IS.AIR.PSGR,8603400,7973600,8255700,9152000,9338200,9859000,10468300,12481600,14298900,16209000,17268093,16914823,13295500,10118096,9287315,9662619,10647142,12298456,14352757,14701206,22146864,24866065,26386306.6,27503416,27923164,27011762,25859918,26732570,28857994,30339654,9009607.2
